id,type,year,author_sr,author_en,title_sr,title_en,doi,landing_page,zenodo,wikidata,cobiss,cluster,status
"book-2012-balkan-city","book","2012","Милош Тимотијевић","Miloš Timotijević","Модернизација балканског града (1944–1989): компаративна анализа развоја Чачка и Благоевграда у епохи социјализма","Modernization of the Balkan City (1944–1989): A Comparative Analysis of the Development of Čačak and Blagoevgrad in the Socialist Era","10.65627/nmuc_balkan_city.2012","https://milos-timotijevic.github.io/books/modernizacija-balkanskog-grada.html","https://zenodo.org/records/20512664","Q138007034","COBISS.SR-ID 189046028","cacak-local-modernity-case-study","checked"
"book-2024-ok-manastiri","book","2024","Делфина Рајић; Милош Тимотијевић","Delfina Rajić; Miloš Timotijević","Манастири Овчарско-кабларске клисуре","Monasteries of the Ovčar-Kablar Gorge","10.65627/nmuc_ok_manastiri.2024","https://milos-timotijevic.github.io/books/manastiri-ovcarsko-kablarske-klisure.html","https://zenodo.org/records/20524924","Q138425264","COBISS.SR-ID 153675785","cultural-heritage-museums-public-history; religious-life-social-practices","checked"
"book-2008-kulturna-riznica-cacka","book","2008","Делфина Рајић; Милош Тимотијевић","Delfina Rajić; Miloš Timotijević","Културна ризница Чачка: од праисторије до савременог доба","Cultural Treasury of Čačak: From Prehistory to the Present Time","10.65627/nmuc_krcacak.2008","https://milos-timotijevic.github.io/books/kulturna-riznica-cacka.html","https://zenodo.org/records/20524638","Q139055651","COBISS.SR-ID 148226060","cultural-heritage-museums-public-history","checked"
"book-2023-cacak-grad-kosarke","book","2023","Милош Тимотијевић","Miloš Timotijević","Како је Чачак постао град кошарке (1945–1969): спорт и идентитет","How Čačak Became the City of Basketball, 1945–1969: Sport and Identity","10.5281/zenodo.20484571","https://milos-timotijevic.github.io/books/kako-je-cacak-postao-grad-kosarke.html","https://doi.org/10.5281/zenodo.20484571","Q139439617","COBISS.SR-ID 117395977","cacak-local-modernity-case-study; culture-nationalism-symbolic-representation","checked"
"book-2019-dragisa-vasic-serbian-national-idea","book","2019","Милош Тимотијевић","Miloš Timotijević","Драгиша Васић (1885–1945) и српска национална идеја","Dragiša Vasić (1885–1945) and the Serbian National Idea","10.5281/zenodo.20483785","https://milos-timotijevic.github.io/books/dragisa-vasic-serbian-national-idea.html","https://doi.org/10.5281/zenodo.20483785","Q138006665","COBISS.SR-ID 274061068","national-ideology-intellectual-debates","checked"
"book-2015-zvonko-vuckovic-ratna-biografija","book","2015","Милош Тимотијевић","Miloš Timotijević","Звонко Вучковић: ратна биографија 1941–1944: расправа о проблемима прошлости и садашњости","Zvonko Vučković: A Wartime Biography 1941–1944: A Debate on the Problems of Past and Present","10.5281/zenodo.20474925","https://milos-timotijevic.github.io/books/zvonko-vuckovic-ratna-biografija.html","https://doi.org/10.5281/zenodo.20474925","Q139378954","COBISS.SR-ID 216279820","war-propaganda-memory","checked"
